,target,source,Similarity
59,50402 NO SMILE CLOSE UP 12.18.2017.JPG,50402 NO SMILE CLOSE UP 12.18.2017.JPG,100.0
60,50421 NO SMILE CLOSE UP 12.14.17.JPG,50421 NO SMILE CLOSE UP 12.14.17.JPG,100.0
61,50422 NO SMILE CLOSE UP 12.27.17.JPG,50422 NO SMILE CLOSE UP 12.27.17.JPG,100.0
62,50431 NO SMILE CLOSE UP 12.16.17.JPG,50431 NO SMILE CLOSE UP 12.16.17.JPG,100.0
63,50432 NO SMILE CLOSE UP 12.16.17.JPG,50432 NO SMILE CLOSE UP 12.16.17.JPG,100.0
64,50441 NO SMILE CLOSE UP 1.28.18.JPG,50441 NO SMILE CLOSE UP 1.28.18.JPG,100.0
65,50442 NO SMILE CLOSE UP 1.28.18.JPG,50442 NO SMILE CLOSE UP 1.28.18.JPG,100.0
66,50461 NO SMILE CLOSE UP 2.2.18.JPG,50461 NO SMILE CLOSE UP 2.2.18.JPG,100.0
67,50462 NO SMILE CLOSE UP 2.2.18.JPG,50462 NO SMILE CLOSE UP 2.2.18.JPG,100.0
68,50471 NO SMILE CLOSE UP 2.20.18.JPG,50471 NO SMILE CLOSE UP 2.20.18.JPG,100.0
69,50472 NO SMILE CLOSE UP 1.3.18.JPG,50472 NO SMILE CLOSE UP 1.3.18.JPG,100.0
70,50481 NO SMILE CLOSE UP 1.8.18.JPG,50481 NO SMILE CLOSE UP 1.8.18.JPG,100.0
71,50482 NO SMILE CLOSE UP 1.8.18.JPG,50482 NO SMILE CLOSE UP 1.8.18.JPG,100.0
72,50491 NO SMILE CLOSE UP.JPG,50491 NO SMILE CLOSE UP.JPG,100.0
73,50492 NO SMILE CLOSE UP 4.7.18.JPG,50492 NO SMILE CLOSE UP 4.7.18.JPG,100.0
74,50501 NO SMILE CLOSE UP 2.2.18.JPG,50501 NO SMILE CLOSE UP 2.2.18.JPG,100.0
75,50502 NO SMILE CLOSE UP 01.23.18.JPG,50502 NO SMILE CLOSE UP 01.23.18.JPG,100.0
76,50521 NO SMILE CLOSE UP 06.17.2018.JPG,50521 NO SMILE CLOSE UP 06.17.2018.JPG,100.0
77,50522 NO SMILE CLOSE UP 06.17.2018.JPG,50522 NO SMILE CLOSE UP 06.17.2018.JPG,100.0
