,0,1,2,3,4,5,6,7,8,9
ID,50221 NO SMILE CLOSE UP 1.10.18.JPG,50232 NO SMILE CLOSE UP 11.29.2017.JPG,50492 NO SMILE CLOSE UP 4.7.18.JPG,50521 NO SMILE CLOSE UP 06.17.2018.JPG,50651 NO SMILE CLOSE UP 3.21.18.JPG,50671 NO SMILE CLOSE UP 3.24.18.JPG,51781 CLOSE UP NO SMILE 4.18.19.JPG,51801 NO SMILE CLOSE UP 05.22.2019.JPG,52171 NO SMILE CLOSE UP 7.2.19.JPG,52182 NO SMILE CLOSE UP 7.01.19.JPG
MouthLeft,"[-0.08406725525856018, 0.06944641470909119]","[-0.036981672048568726, 0.070993572473526]","[-0.05066534876823425, 0.053228914737701416]","[-0.04089897871017456, 0.06875205039978027]","[-0.04690396785736084, 0.06815201044082642]","[-0.06189572811126709, 0.08206969499588013]","[-0.04350879788398743, 0.0751151442527771]","[-0.035796403884887695, 0.06268003582954407]","[-0.03418511152267456, 0.06005415320396423]","[-0.028817415237426758, 0.05358034372329712]"
MouthRight,"[0.07194113731384277, 0.06993284821510315]","[0.04353612661361694, 0.06659802794456482]","[0.05845296382904053, 0.04556387662887573]","[0.033291131258010864, 0.07195094227790833]","[0.041611045598983765, 0.07158657908439636]","[0.050054192543029785, 0.09288352727890015]","[0.03768223524093628, 0.07678931951522827]","[0.043637096881866455, 0.056816667318344116]","[0.03212052583694458, 0.059731751680374146]","[0.03176414966583252, 0.051736801862716675]"
MouthUp,"[-0.004139125347137451, 0.05168941617012024]","[0.0018472373485565186, 0.04968428611755371]","[0.0026963353157043457, 0.03660205006599426]","[-0.00276830792427063, 0.049690812826156616]","[-0.002293318510055542, 0.05206820368766785]","[-0.004668533802032471, 0.06485676765441895]","[-0.0020589232444763184, 0.053504109382629395]","[0.0022426247596740723, 0.04487329721450806]","[-0.0008600354194641113, 0.042737990617752075]","[0.0006717145442962646, 0.03796473145484924]"
NoseLeft,"[-0.03920060396194458, 0.01655745506286621]","[-0.017236948013305664, 0.01885312795639038]","[-0.025012671947479248, 0.014046728610992432]","[-0.019036322832107544, 0.019036203622817993]","[-0.02143716812133789, 0.015898674726486206]","[-0.027786314487457275, 0.02065032720565796]","[-0.019968628883361816, 0.022717654705047607]","[-0.01681464910507202, 0.015972256660461426]","[-0.01593872904777527, 0.01715916395187378]","[-0.013267278671264648, 0.01547589898109436]"
NoseRight,"[0.030238807201385498, 0.015062898397445679]","[0.019269853830337524, 0.015126824378967285]","[0.023295044898986816, 0.00967484712600708]","[0.014165788888931274, 0.019347816705703735]","[0.017944127321243286, 0.0158463716506958]","[0.02181762456893921, 0.02469611167907715]","[0.016468465328216553, 0.02344435453414917]","[0.018637359142303467, 0.012202322483062744]","[0.013728797435760498, 0.01647251844406128]","[0.013928234577178955, 0.014423847198486328]"
RightEyeDown,"[0.08542919158935547, -0.0769902765750885]","[0.046861350536346436, -0.07053516805171967]","[0.053340256214141846, -0.05635610222816467]","[0.04159089922904968, -0.05723646283149719]","[0.051155418157577515, -0.07574379444122314]","[0.06618458032608032, -0.07775881886482239]","[0.046647846698760986, -0.051837652921676636]","[0.04419976472854614, -0.0684378445148468]","[0.037037193775177, -0.049114078283309937]","[0.03516066074371338, -0.04399840533733368]"
RightEyeLeft,"[0.04944366216659546, -0.08231565356254578]","[0.028207480907440186, -0.07435034215450287]","[0.027790427207946777, -0.05814453959465027]","[0.024425655603408813, -0.062270402908325195]","[0.03088727593421936, -0.0817381739616394]","[0.041147828102111816, -0.08625081181526184]","[0.028251826763153076, -0.056621015071868896]","[0.025981128215789795, -0.0715990960597992]","[0.02183091640472412, -0.0527501106262207]","[0.021392494440078735, -0.0469132661819458]"
RightEyeRight,"[0.11830949783325195, -0.08456370234489441]","[0.06445646286010742, -0.07797351479530334]","[0.07572668790817261, -0.063100665807724]","[0.057433098554611206, -0.06187671422958374]","[0.07016453146934509, -0.08277302980422974]","[0.09017664194107056, -0.08345282077789307]","[0.06402778625488281, -0.05575545132160187]","[0.061158835887908936, -0.07614746689796448]","[0.051162660121917725, -0.05352875590324402]","[0.04825562238693237, -0.04820163547992706]"
RightEyeUp,"[0.08697086572647095, -0.0906999409198761]","[0.04711771011352539, -0.08340339362621307]","[0.05307567119598389, -0.0659533441066742]","[0.04251214861869812, -0.06948669254779816]","[0.052185386419296265, -0.08953055739402771]","[0.06793183088302612, -0.09401524066925049]","[0.04761093854904175, -0.06434345245361328]","[0.04429596662521362, -0.08024665713310242]","[0.03759855031967163, -0.05954033136367798]","[0.03551375865936279, -0.05323876440525055]"
RightEyebrowLeft,"[0.05244290828704834, -0.1271318793296814]","[0.026404738426208496, -0.1173207014799118]","[0.025131702423095703, -0.08977848291397095]","[0.026452571153640747, -0.10535582900047302]","[0.03260412812232971, -0.1270124316215515]","[0.04490727186203003, -0.14069271087646484]","[0.030005574226379395, -0.10163450241088867]","[0.02403181791305542, -0.10973057150840759]","[0.02244579792022705, -0.08923318982124329]","[0.02084285020828247, -0.07911694049835205]"
RightEyebrowRight,"[0.1618748903274536, -0.11805438995361328]","[0.08680784702301025, -0.10944819450378418]","[0.10325270891189575, -0.08834794163703918]","[0.07860097289085388, -0.08890073001384735]","[0.09571078419685364, -0.11593484878540039]","[0.12373119592666626, -0.11764064431190491]","[0.08779579401016235, -0.08135886490345001]","[0.08291059732437134, -0.10594615340232849]","[0.06991279125213623, -0.07677316665649414]","[0.06554800271987915, -0.06912030279636383]"
RightEyebrowUp,"[0.10787463188171387, -0.13512969017028809]","[0.05582326650619507, -0.12571373581886292]","[0.06326591968536377, -0.0979694128036499]","[0.053110212087631226, -0.10967709124088287]","[0.06444850564002991, -0.13410598039627075]","[0.08510953187942505, -0.14508768916130066]","[0.059246718883514404, -0.1051313728094101]","[0.05255699157714844, -0.11869344115257263]","[0.04623866081237793, -0.09375739097595215]","[0.04279628396034241, -0.08364193141460419]"
RightPupil,"[0.08905410766601562, -0.08260828256607056]","[0.04834115505218506, -0.07552202045917511]","[0.05548769235610962, -0.06049296259880066]","[0.04327622056007385, -0.062117934226989746]","[0.05339351296424866, -0.08159297704696655]","[0.06948798894882202, -0.08304572105407715]","[0.04886424541473389, -0.05601482093334198]","[0.046071410179138184, -0.07287895679473877]","[0.03865402936935425, -0.05301967263221741]","[0.03669270873069763, -0.04747191071510315]"
UpperJawlineLeft,"[-0.22991332411766052, -0.086733877658844]","[-0.1077224612236023, -0.06344103813171387]","[-0.16503915190696716, -0.04433122277259827]","[-0.10997727513313293, -0.05425408482551575]","[-0.12410295009613037, -0.09079265594482422]","[-0.1528964638710022, -0.095572829246521]","[-0.11361253261566162, -0.03515803813934326]","[-0.10702404379844666, -0.06257882714271545]","[-0.09444701671600342, -0.039251238107681274]","[-0.08016306161880493, -0.0321664959192276]"
UpperJawlineRight,"[0.19368624687194824, -0.08575811982154846]","[0.11191099882125854, -0.07515552639961243]","[0.13006097078323364, -0.06573367118835449]","[0.09341070055961609, -0.04635360836982727]","[0.115654855966568, -0.08249258995056152]","[0.1469009518623352, -0.0678289532661438]","[0.1057845950126648, -0.03011229634284973]","[0.10640466213226318, -0.07907077670097351]","[0.08536040782928467, -0.040390968322753906]","[0.08276402950286865, -0.03714562952518463]"
